Recall Number,Product Safety Warning Number,Date,Product Safety Warning Date,Recall Heading,Name of product,Description,Hazard Description,Consumer Action,Original Product Safety Warning Announcement,Remedy Type,Units,Incidents,Remedy,Sold At Label,Sold At,Importers,Manufacturers,Distributors,Manufactured In,Custom Label,Custom Field
26-579,,25-Jun-26,,Montessori Busy Board Toys Recalled Due to Risk of Serious Injury or Death from Magnet Ingestion; Violate Mandatory Standard for Toys; Sold on Amazon by Small Fish,Small Fish Montessori Busy Board Toys,"This recall involves Small Fish Montessori Busy Board toys, model 2512JX02. The busy board consists of a wooden base with six multi-colored removable square activity panels, including flipping mirror, abacus, finger spinner, spinning gear, rain maker and bead maze panels. “Montessori Busy Board” and model number “2512JX02” are printed on labels on the back of the package.","The busy boards violate the https://www.cpsc.gov/Business--Manufacturing/Business-Education/Toy-Saf… lang=""EN-US"">mandatory safety standard for toys because magnets can detach, posing a deadly ingestion hazard. When high-powered magnets are swallowed, the ingested magnets can attract each other, or other metal objects and become lodged in the digestive system. This can result in perforations, twisting, and/or blockage of the intestines, blood poisoning and death.",,,Refund,"About 1,013",None reported,Consumers should stop using the recalled busy boards and immediately take them away from children. Consumers can contact Small Fish for information on how to receive a full refund. Consumers will be asked to throw away the recalled busy board and email a photo of the disposed product to smallfishrecall@163.com.,Sold Online At,Amazon.com from March 2026 through May 2026 for about $16.,,,"Lesonic Technology Co., Ltd., dba Small Fish, of China",China,,
26-578,,25-Jun-26,,Raychy Children's Light Sneakers Recalled Due to Risk of Serious Injury or Death from Battery Ingestion; Violate Mandatory Standard for Consumer Products with Coin Batteries; Imported by Carina and Rambo,Raychy Children's Light Sneakers Unisex,"This recall involves Raychy Children's Light Sneakers Unisex. The sneakers are available in red, black, and blue, each featuring a distinctive spiderweb-patterned on top of the sneakers and soles that light up when walking. The shoes bear the ""Fashion"" label printed on the tongue.","The recalled sneakers violate the mandatory standard for consumer products with button cell and coin batteries because the lithium coin batteries can be accessed easily by children, posing an ingestion hazard. Additionally, the packaging and product do not have the warnings required under https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… lang=""EN"">Reese’s Law. When button cell or coin batteries are swallowed, the ingested batteries can cause serious injuries, internal chemical burns, and death.",,,Refund,About 500,None reported,"Consumers should stop using the sneakers immediately and contact Carina and Rambo for a refund. Consumers will be asked to cut the shoe tongue, write ""RECALLED"" on both sides of the sneakers using a permanent marker, and provide a photo of disposal to raychyrecall@outlook.com in order to receive the refund.&nbsp;Note: Button cell and coin batteries are hazardous. Batteries should be disposed of or recycled by following local hazardous waste procedures.",Sold Online At,Amazon.com in January 2026 for about $28.,"Shenzhen Qicheng Trading Co., Ltd., dba Carina and Rambo, of China",,,China,,
26-577,,25-Jun-26,,Shield Line Recalls MedPride Baby Oil Bottles Due to Risk of Serious Injury or Death from Child Poisoning; Violate Mandatory Standard for Child-Resistant Packaging,MedPride Baby Oil,"This recall involves MedPride Baby Oil bottles. The baby oil comes in a clear bottle with a pink cap and a white and pink front and back label. The front label bears the “MedPride” logo. The label contains “Baby Oil” in pink lettering, “Helps smooth, soften &amp; moisturize skin”, and “Hypoallergenic” in blue lettering. The back label contains directions, warnings, and manufacturer information in blue lettering.","The baby oil contains low-viscosity hydrocarbons, which must be in child-resistant packaging, as required by the https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… lang=""EN-US"">Poison Prevention Packaging Act. The baby oil’s packaging is not child-resistant, posing a risk of serious injury or illness from poisoning if the contents are swallowed by young children. Additionally, petroleum distillates can get into the lungs, causing chemical pneumonia and/or pulmonary damage, which can be fatal.",,,Refund,"About 8,420",None reported,Consumers should secure the baby oil out of sight and reach of children immediately and contact Shield Line for a refund. Consumers will be asked to submit a photo of the recalled product in the trash to receive a full refund.,Sold At,"Various discount and medical supply stores primarily in the New York tri-state area, such as 1$ Zone and Yong Tai Discount and online at Amazon.com by HL Medical from November 2025 through March 2026 for about $8.",,,"Shield Line LLC, of Branchburg, New Jersey",India,,
26-576,,25-Jun-26,,Southern Telecom Expands Recall of Lomi Waxing Kits Due to Risk of Serious Injury or Death from Fire and Burn Hazards; Additional Model and Reported Incidents,Lomi Roll-On Waxing Kits,"This recall involves the Lomi Roll-On Waxing Kit with Wax Cartridge &amp; Wax Strips, model numbers LOMB2003PK and LOMB2004PK. The recalled boxed kits included a handheld wax warmer, a wax cartridge, wax strips, a power cord and a user’s manual. The Lomi logo is printed on the front of the white and pink warmer and on the outside of the product packaging. The model number is printed on a label on the bottom of the wax warmer.","The roll-on warmers’ power cord can overheat and short circuit, posing a risk of serious injury or death from fire, burn and electrical shock hazards.",,,Refund,"About 14,700 (Southern Telecom previously recalled the waxing kits on June 13, 2024)",Southern Telecom has received two additional reports of the warmer power cord overheating. No injuries have been reported.,"Consumers should stop using the recalled waxing kits immediately and contact Southern Telecom for a full refund. Consumers will be asked to destroy the kits by unplugging the warmer’s electrical cord, cutting it in half, and upload a photo of the destroyed product, showing the cut electrical cord, to https://support.customersupport123.com/hc/en-us/requests/new. Consumers should then dispose of the destroyed product.",Sold At,"Ross, DD's, Variety Wholesalers and Burlington stores nationwide from February 2025 through December 2025 for about $13.","Southern Telecom Inc., of New York",,,China,,
26-575,,25-Jun-26,,Super Off-Road Solar Power Banks Recalled Due to Overheating; Imported by Spector & Co.,"Super Off-Road 12,000 mAh Solar Wireless Power Banks","This recall involves the Super Off-Road 12,000 mAh Solar Wireless Power Bank, a power bank with solar charging capability. The product can be used to charge devices wirelessly. The power bank is black and measures about 3.4 inches wide by 6.5 inches high.","The solar power bank’s lithium-ion battery can swell and overheat, posing a burn hazard to consumers.",,,Refund,"About 7,400 (In addition, about 4,964 were sold in Canada)",The firm has received two reports of the power bank’s battery swelling. No injuries have been reported.,"Consumers should stop using the recalled power banks immediately and visit spectroandco.com/recall to register for a full refund. The refund will be in the form of a check which will be mailed to consumers. Consumers should dispose of the camera in accordance with local and state regulations.&nbsp;&nbsp;Note: Do not throw this recalled lithium-ion battery or device in the trash, in the general recycling stream (e.g., street-level or curbside recycling bins), or in used battery recycling boxes found at various retail and home improvement stores. Recalled lithium-ion batteries must be disposed of differently than other batteries, because they present a greater risk of fire. Your municipal household hazardous waste (HHW) collection center may accept this recalled lithium-ion battery or device for disposal. Before taking your battery or device to a HHW collection center, contact that office ahead of time and ask whether it accepts recalled lithium-ion batteries. If it does not, contact your municipality for further guidance.",Sold At,Given away as promotional items by various companies from January 2019 through December 2023.,"Spector & Co., of Saint Laurent, of Quebec, Canada",,,China,,
26-574,,25-Jun-26,,Yamazuki Recalls Youth All-Terrain Vehicles (ATVs) Due to Risk of Serious Injury or Death from Crash; Violate Mandatory Standard for ATVs,XW-A17 Electric Youth All-Terrain Vehicles (ATVs),"This recall involves XW-A17 Electric Youth ATVs sold under brand names including Sunderwell in blue, green, orange and pink. “Model:XW-A17” is printed on the identification plate located on the front left side of the frame column. “Yamazuki, Inc. certifies that this ATV complies with ANSI/SVIA 1-2023 Standard. “This ATV is subject to the Yamazuki, Inc. ATV Action Plan filed with and approved by the U.S. Consumer Product Safety Commission” is also printed on the identification plate.","The recalled youth ATVs violate the mandatory safety standard for https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… lang=""EN-US"">ATVs because they are missing brake lights, reducing visibility of the youth ATV to other vehicles, posing a deadly crash hazard.",,,Repair,About 200,None reported,Consumers should stop using the recalled youth ATVs immediately and contact Yamazuki for a free repair kit.,Sold Online At,Amazon.com and Walmart.com from October 2025 through December 2025 for between $500 and $600.,"Yamazuki Inc., of Ontario, California","Yongkang Ruihe Metal Products Co. Ltd., of China",,China,,
26-507,,25-Jun-26,,Kith Retail Recalls Children’s Loungewear Sets Due to Risk of Serious Injury from Burn Hazard; Violate Mandatory Standards for Children’s Sleepwear,Kids Kithmas Plaid Lounge Sets,"This recall involves Kith-branded children’s loungewear sets. The recalled woven pajamas consist of a long-sleeved shirt with buttons, a front pocket and matching pants. The loungewear sets were sold in black and red plaid print in sizes 9-12 months through XL (14/16). “Kith” is embroidered on the front pocket and left leg of the pants. “Kith Kids” and the size are printed on the sewn-in neck label. “RN140659” and “KHK190026” are printed on the sewn-in side seam label.","The recalled children’s loungewear sets violate the mandatory flammability standards for https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… lang=""EN-US"">children’s sleepwear, posing a risk of serious burn injuries.",,,Refund,"About 130 (In addition, nine in Canada)",None reported,Consumers should stop using the loungewear immediately and contact Kith Retail for a full refund. Consumers will be asked to destroy the pajamas by cutting them in half and to send a photo of the destroyed pajamas to recalls@kithnyc.com then dispose of the product. Consumers should refer to the instructions at kith.com/pages/recall.,Sold At,Kith stores nationwide and online at www.kith.com from December 2025 through January 2026 for about $75.,"Kith Retail Inc. of Brooklyn, New York",,,India,,
26-569,,18-Jun-26,,CooCooBaby Baby Loungers Recalled Due to Risk of Serious Injury or Death from Suffocation and Fall Hazards; Violates Mandatory Standard for Infant Sleep Products,CooCooBaby Baby Loungers,"This recall involves the “Classic” and “Deluxe” CooCooBaby Baby Loungers. The recalled baby loungers are made of a foam sleeping pad and padded bumpers with a cloth cover and were sold in multiple styles and colors. The Deluxe lounger has buttons at the foot, and the Classic lounger has a ribbon tie at the foot. “CooCooBaby” and the manufacturing information can be found on tags on the side of both baby loungers.","The baby loungers violate the mandatory standard for https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… lang=""EN-US"">Infant Sleep Products because the sides are shorter than the minimum side height limit to secure the infant; the sleeping pad’s thickness exceeds the maximum limit, posing a suffocation hazard; and an infant could fall out of an enclosed opening at the foot of the lounger or become entrapped. The portable loungers do not have a stand, posing a fall hazard. These violations create an unsafe sleeping environment for infants, posing a risk of serious injury or death.",,,Refund,"About 2,355",None reported,"Consumers should stop using the baby loungers immediately and contact CooCooBaby for a full refund. Consumers should remove the sleeping pad, cut up the sides of the baby lounger and the sleeping pad and email a photo of the destroyed lounger to support@coocoobabyofficial.com to obtain a full refund issued to the original payment method.",Sold Online At,CooCooBabyOfficial.com and Amazon.com from December 2024 through March 2026 for between $35 and $70.,,,,China,Retailer:,"CooCooBaby, of China"
26-568,,18-Jun-26,,Joolz Recalls Aer2 Car Seat Adapters for Strollers Due to Risk of Serious Injury from Fall Hazard,Joolz Aer2 Car Seat Adapters for Joolz Aer 2 Stroller,This recall involves the Aer2 Car Seat Adapters for Joolz Aer2 Strollers.&nbsp; The adapters are designed to transfer the car seat from a car to the stroller. The black adapters are sold in a set of two and are made of plastic. They are sold as accessories. Only the car seat adapters are involved in the recall; the stroller is not involved in the recall.&nbsp;A product identifier starting with NL311 can be found on the inside of the adapter.,"The recalled car seat adapters can fail to properly attach to the stroller, which may allow the car seat to fall, posing a risk of serious injury from a fall hazard.",,,Refund,"About 3,840 (In addition, about 148 were sold in Canada)",The firm has received one report of the car seat adapters detaching from the strollers. No injuries have been reported.,"Consumers should stop using the Joolz Aer2 Car Seat Adapters immediately, detach them from the stroller and go to http://joolzcarseatadapter.expertinquiry.com to register for a full refund. The firm will provide a video on how to remove the Joolz Aer2 Car Seat Adapters from the stroller. Consumers must return the recalled adapter sets using the prepaid shipping label to receive a refund. Full refunds will be reimbursed via an electronic payment method or a virtual prepaid gift card to use anywhere.&nbsp;",Sold At,"Bloomingdale’s, Nordstrom, and specialty stores nationwide, and online at www.joolz.com, www.bloomingdales.com, www.nordstrom.com, and www.amazon.com from June 2025 to May 2026 for about $50.","Joolz USA Inc., of New York, New York",,,China,,
26-567,,18-Jun-26,,SHEIN Distribution Corporation Recalls Michley Children’s Pajamas Due to Risk of Serious Injury or Death from Burn Hazard; Violate Mandatory Standard for Children’s Sleepwear,Michley Children’s Pajamas,"This recall involves Michley-branded children’s pajamas. The recalled one-piece pajamas were sold in green with a dinosaur patch, pink with a bunny patch, yellow with a giraffe patch and purple with a rabbit patch; and in sizes 80 through 130. “Michley” and the size are printed on a sewn-in seam label.","The recalled children’s pajamas violate the mandatory flammability standard for https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… lang=""EN-US"">children’s sleepwear, posing a risk of serious burn injuries or death.",,,Refund,About 160,None reported,Consumers should stop using the recalled pajamas immediately and contact SHEIN for a full refund. Consumers will be asked to destroy the pajamas by cutting them in half and send a photo of the destroyed pajamas to uscsteam@shein.com. Consumers should then dispose of the destroyed product.&nbsp;,Sold Online At,SHEIN.com from May 2025 through December 2025 for about $25. The third-party seller has not responded to CPSC’s Notice of Violation. CPSC issued a Product Safety Warning for products sold by the seller.,"SHEIN Distribution Corporation, of Los Angeles, California",,,China,,
26-566,,18-Jun-26,,Bada Boom Fireworks Recalls Pyro Diablo “Diablo Rising” Fireworks Due to Risk of Serious Injury or Death from Explosion and Burn Hazards; Violate Fireworks Ban,Pyro Diablo “Diablo Rising” 9 Shots,"This recall involves Pyro Diablo branded “Diablo Rising” 9 Shots fireworks device, model PD-C5001. The packaging displays an orange dragon on a blue and purple background. The brand name, product name, item number and warning labels are located on the top and front of the package.&nbsp;","The recalled fireworks violate the ban for aerial https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… lang=""EN-US"">fireworks devices intended to produce audible effects because they have a pyrotechnic composition that exceeds the federal limit, posing deadly explosion and burn hazards. Overloaded fireworks can result in a greater than expected explosion.",,,Refund,"About 1,060",None reported,Consumers should stop using the recalled fireworks devices immediately and contact Bada Boom Fireworks for a full refund. Consumers will be asked to return the fireworks device to Bada Boom Fireworks retail locations.,Sold At,Bada Boom Fireworks locations in Pennsylvania from March 2026 through May 2026 for about $45.,"Bada Boom Fireworks, of Blakeslee, Pennsylvania",,,China,,
26-565,,18-Jun-26,,Arizer Solo III Portable Vaporizers Recalled Due to Fire and Burn Hazards; Risk of Serious Injury or Death; Imported by 7111495 Canada,Arizer Solo III portable electronic vaporizers (Intergalactic/Black color only),"This recall involves the Arizer Solo III Intergalactic (Black), a portable electronic vaporizer powered by an internal lithium-ion battery. The unit features a rigid anodized aluminum housing. It includes a front-facing digital display for temperature and device settings, with a stainless steel heating chamber and removable glass components. Only devices with serial numbers beginning with the following prefixes are included in this recall:&nbsp;&nbsp;M3B1G5&nbsp;M3F4G6&nbsp;M35C43&nbsp;M3PN54&nbsp;M3SR42&nbsp;M38G53&nbsp;M3G576&nbsp;&nbsp;M3C121&nbsp;The serial number is etched on the bottom of the device and is also printed on the outside of the product packaging. UPC 628078802274 is printed on the product packaging.","The internal lithium-ion battery can explode or ignite, posing fire and burn hazards.",,,Replace,"About 5,000",The firm has received four reports of the battery exploding or igniting.,"Consumers should stop using the Arizer Solo III portable electronic vaporizers immediately and contact 7111495 Canada regarding a replacement Solo III V2 unit. Consumers who register for the recall and have serial numbers confirmed to fall within the affected serial number ranges will receive instructions to dispose of the recalled device. Consumers will be asked to submit a photograph showing the word “recalled” written on their device in permanent marker and confirm that they have disposed of the device in accordance with applicable laws and regulations before receiving a replacement Solo III V2 unit.&nbsp;Note: Do not throw this recalled lithium-ion battery or device in the trash, the general recycling stream (e.g., street-level or curbside recycling bins), or used battery recycling boxes found at various retail and home improvement stores. Recalled lithium-ion batteries must be disposed of differently than other batteries, because they present a greater risk of fire. Your municipal household hazardous waste (HHW) collection center may accept this recalled lithium-ion battery or device for disposal. Before taking your battery or device to a HHW collection center, contact that office ahead of time and ask whether it accepts recalled lithium-ion batteries. If it does not, contact your municipality for further guidance.",Sold At,"Specialty, health and wellness and adult novelty stores nationwide and on Arizer.com from May 2025 through January 2026 for about $300.","7111495 Canada Inc., dba Arizer Tech, of Waterloo, Ontario  ",,,China,,
26-564,,18-Jun-26,,Veseacky Pajama Sets Recalled Due to Risk of Serious Injury or Death from Burn Hazard; Violate Mandatory Standards for Children’s Sleepwear,Veseacky Pajama Sets,"This recall involves Veseacky pajama sets. The pajama sets consist of a long-sleeve, button-up top with a front pocket and matching pants. They were sold in various colors and prints. The pajama sets have the size and care instructions printed on a sewn-in side seam label. The model number “C0001-NB 130-LCUS” is on a barcode sticker on the packaging.","The pajama sets violate the mandatory safety standards for https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… lang=""EN-US"">children’s sleepwear, posing a risk of serious injury or death to children from burns.",,,Refund,"About 3,700 units",None reported,Consumers should stop using the recalled pajama sets immediately and contact Veseacky for a full refund. Consumers will be asked to destroy the pajamas by cutting them in half and send a photo of the destroyed pajama set to Veseackypajamarecall@outlook.com. Consumers should then dispose of the destroyed product.&nbsp;,Sold Online At,Amazon.com from October 2020 through January 2026 for about $29.,"Shenzhen City ShengRu Fu Shi Company Ltd., doing business as Veseacky, of China",,,China,,
26-562,,18-Jun-26,,GOPO Toys Recalls Pull String Teething Toys Due to Risk of Serious Injury or Death from Choking; Violate Mandatory Standard for Toys,GOPO TOYS Pull String Teething Toys,"This recall involves GOPO TOYS pull string teething toys. The teething toys consist of an off-white disc shape with a gray ball in the center and six multi-colored, silicone tentacle-looking pull strings that run through the ball. The disc has seven soft push buttons. The brand name and “Pull String Toy” is printed on the front of the product packaging, and the batch number 250905, 250530, 250120, 240315, 231005 or 230610 on the back of packaging.","The recalled teething toys violate the mandatory standard for https://www.cpsc.gov/Business--Manufacturing/Business-Education/Toy-Saf… lang=""EN-US"">toys because the silicone strings are smaller and longer than permitted. The strings can reach the back of children’s throat and become lodged, posing a serious risk of respiratory distress and deadly choking hazard.",,,Refund,"About 70,410","The firm is aware of three reports of the toy’s strings reaching the back of a child’s throat, resulting in respiratory distress or choking.","Consumers should stop using the teething toy immediately, take it away from children and contact GOPO Toys to receive a full refund. Consumers will be asked to destroy the toy by cutting all silicone strings and writing in permanent marker “DESTROYED” on the main body of the toy and send a photo of the destroyed toy to recalls@gopotoys.com. Consumers should then dispose of the destroyed product.&nbsp;&nbsp;",Sold Online At,Amazon.com from August 2023 through March 2026 for between $11 to $15.&nbsp;,,,"GOPO Toys LLC, of San Bernardino, California",China,,
26-561,,18-Jun-26,,BABESIDE Doll and Stroller Children’s Toys Recalled Due to Risk of Serious Injury or Death from Choking Hazard; Violate Small Parts Ban; Sold on Amazon by HYBDOLLS,BABESIDE Doll and Stroller Toys,"This recall involves BABESIDE-branded doll and stroller toys. The play toy sets consist of a pink with red stroller, a baby doll dressed in pink and 23 accessories, including a pink and white plate with a fork and spoon, orange juice and milk feeding bottles, a toy pacifier with clip, a milk carton, a bib, a diaper bag, a diaper, a tissue bag with tissues, lotion and baby powder bottles, a small plush bear, a pair of shoes, two sets of clothes and a soft carrier.","The recalled toys violate the https://cpsc.gov/Business--Manufacturing/Business-Education/Business-Gu… lang=""EN-US"">small parts ban because they are intended for children under three and the small pacifier poses a deadly choking hazard to young children. In addition, the eyes on the plush bear can detach, also posing a choking hazard.",,,Repair,"About 2,200",None reported,"Consumers should stop using the recalled toys’ plush bear and pacifier immediately, take them away from children and contact HYBDOLLS for free replacement similar toy accessories, including shipping. Consumers will be asked to destroy the toy’s plush bear and pacifier by cutting the bear in half and writing in permanent marker “X” on the pacifier and send a photo of the destroyed and marked accessories to support@babeside.com. Consumers should then dispose of the destroyed accessories.",Sold Online At,Amazon from July 2025 through January 2026 for about $40.,,"Huizhou Huitong Crafts Co. Ltd., of China",,China,,
26-563,,16-Jun-26,,Spa Drain Covers Recalled Due to Risk of Serious Injury or Death from Entrapment and Drowning Hazards; Violate Virginia Graeme Baker Pool & Spa Safety Act; Sold on Amazon by Arrogantf,Arrogantf Spa Drain Covers,"This recall involves Arrogantf white spa/hot tub suction covers that are sold for use as Hot Tub Jet Cover, Spa Drain Covers. The plastic unit comes packaged in a clear plastic bag with a label affixed to the bag which reads: X004TW6LTF, Arrogantf, BWG 3-3/4"" 100gpm, BSC334-AF. Included in the bag is a smaller clear bag with two screws. There is no labeling or product identification on the product itself.","The recalled drain covers violate the entrapment protection standards of the https://www.cpsc.gov/Business--Manufacturing/Business-Education/FAQ?p=3… lang=""EN-US"">Virginia Graeme Baker Pool and Spa Safety Act (VGBA), posing entrapment and drowning hazards to consumers.",,,Refund,About 340,None reported,"Spa owners, spa operators and consumers should stop using spa/hot tubs with the recalled pool drain covers immediately. To receive a refund, consumers should remove the drain cover from the spa/hot tub, write “RECALL” with a marker on the cover, take a photo, then dispose it. If feasible, disable the drain cover by cutting the perimeter structure to prevent reinstallation or further functional use. Send the photo to Arrogantf by email at lufen1624@outlook.com.&nbsp; &nbsp;Ensure all pools and spas have VGBA-compliant drain covers and teach children to stay away from drains.&nbsp;&nbsp;",Sold Online At,Amazon.com from September 2025 through March 2026 for about $16.,,,,China,Seller:,"Shenzhen Fuxiangyue Technology Co., Ltd., dba Arrogantf, of China."
26-557,,11-Jun-26,,Coffeemakers Recalled Due to Risk of Serious Injury from Burn Hazard; Imported by Kidisle,Kidisle Coffeemakers,"This recall involves Kidisle-branded hot and iced coffee machines. The single-serve coffeemaker is designed with black, white and gray colors, measures about 11 inches high and 6 inches wide, and has a 50-ounce detachable water tank. The coffeemakers can brew 6 to 14 ounces of cupped or ground coffee. Model “KC101B” is printed on a sticker on the coffeemakers’ underside and the brand name on the product order receipt.","The recalled coffeemakers can become clogged, causing hot liquid or steam to build up and be released unexpectedly during use, posing a risk of serious injury from burn hazard.",,,Refund,"About 17,600","CPSC is aware of at least 107 reports of the coffeemakers releasing hot liquid or steam unexpectedly, resulting in at least 27 reported injuries, including first and second-degree burns that required medical treatment.","Consumers should stop using the coffeemakers immediately and contact Kidisle for a full refund. Consumers will be asked to destroy the coffeemaker by unplugging and cutting the power cord, write “Recalled” in permanent marker on it, and send a photo of the destroyed product with a visible model number and cut power cord, to KidisleKC101Brecall@outlook.com.",Sold Online At,"Amazon.com, Walmart.com and eBay.com from June 2024 through April 2026 for about $49.","Kidisle, of China ","ChangShaShiMengQiSiDianZiShangMaoYouXianGongSi, of China",,China,,
26-556,,11-Jun-26,,Yamaha Recalls UMAX Bistro and Bistro Deluxe Vehicles Due to Injury Hazard,Model Year 2019-2025 UMAX Bistro and Bistro Deluxe Vehicles,"This recall involves Model Year 2019-2025 UMAX Bistro and Bistro Deluxe gas and electric vehicles. The gas models are J0G (YUM2A) with serial number 0000104-0601120. The electric models are J5D (YUM2E) with serial number 0000116-0000230. The food and merchandise service vehicles have a four-lid ice chest, sliding snack tray, and a vertical display case (Bistro Deluxe) with slanted shelves for displaying goods. The units were sold in white, green, red, teal, and brown colors. The serial number can be located under the rear cargo area, on the frame of the unit. Yamaha is written on the sides and on the front and back of the vehicle.","The recalled Bistro and Bistro Deluxe vehicles have an inaccurate weight capacity certification label. This could result in the vehicle being overloaded, which poses an injury hazard.",,,Repair,"About 1,101 (In addition, about 75 were sold in Canada)",None reported,Consumers should immediately stop using the recalled UMAX Bistro and Bistro Deluxe vehicles and contact an authorized Yamaha Golf Car dealer to schedule a free replacement of the label. A Yamaha dealer will replace the label at the vehicle’s location.,Sold At,"Yamaha Golf Car dealers nationwide beginning July 2018 through May 2026 for between $17,495 and $29,060.","Yamaha Golf-Car Company, of Kennesaw, Georgia",,,Japan,,
26-555,,11-Jun-26,,Houoto 642-2150V Pool Drain Covers Recalled Due to Risk of Serious Injury or Death from Entrapment and Drowning Hazards; Violate Virginia Graeme Baker Pool & Spa Safety Act; Sold on Amazon by Prosperity goes straight up,Houoto 642-2150V Pool Drain Covers,This recall involves Houoto 642-2150V Pool Drain Covers that are sold for use in swimming pools. The drain covers measure 7-5/8 inches in diameter and the screw hole spacing is 7 inches. They are white and made of ABS plastic. The brand and model number can be found on the product’s order receipt.,"The drain covers do not bear the required product markings, in violation of the mandatory safety standard under the https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… lang=""EN-US"">Virginia Graeme Baker Pool and Spa Safety Act (VGBA), posing risk of serious injury or death from entrapment and drowning hazards. The drain covers also fail to meet safety requirements because they are missing statements regarding the service life of the covers and installation and maintenance instructions.",,,Refund,About 595,None reported,"Pool owners, pool operators and consumers should stop using pools with the recalled pool drain covers immediately. To receive a refund, consumers will be asked to remove the drain cover from the pool, destroy or otherwise render the drain cover unusable, write in permanent maker “Recalled” on the removed cover, and send a photo of the marked cover to houoto@163.com. Ensure all pools and spas have VGBA-compliant drain covers and teach children to stay away from drains.",Sold Online At,Amazon.com from January 2026 through May 2026 for about $18.,,"Foshan Nanhai District Haichen Tengfei Hardware Factory, of China",,China,Retailer:,"Tingting Specialty Store, dba Prosperity goes straight up, of China&nbsp;"
26-554,,11-Jun-26,,The Black Sheep Fam Recalls Children’s Pajamas Due to Risk of Serious Injury or Death from Burn Hazard; Violates Mandatory Flammability Standards for Children’s Sleepwear,Girls’ Sleepshirt and Kids’ Unisex Jogger Pajama Sets,"This recall involves The Black Sheep Fam Kids’ Unisex Jogger Pajama Sets and Girls’ Sleepshirts. The recalled pajamas were sold in various children’s sizes, colors and prints. Sizes include 2T, 3T, 4T, XS, SM, M and L. The size and “Black Sheep Fam Kids” are printed the neck label of the pajamas. The Girls’ Sleepshirts have “Made in China” and “96% polyester 4% spandex” printed on the sewn-in side seam label. The Kids’ Jogger Pajama sets have “RN# 169608” “Made in Guatemala” and “95% cotton 5% spandex” printed on the sewn-in side seam label.","The recalled children’s pajamas violate the mandatory flammability safety standard for https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… lang=""EN-US"">children’s sleepwear, posing a risk of serious burn injuries or death to children.",,,Refund,"About 2,100",None reported,"Consumers should stop using the pajamas immediately and contact The Black Sheep Fam for a full refund. Consumers will be asked to cut the products in half and email a photo of the destroyed garment to hello@theblacksheepfam.com, then dispose of the product.",Sold At,"Theblacksheepfam.com, Maisonette.com, Etsy.com, Instagram.com, and Facebook.com from October 2023 through February 2026 for between $40 and $50.&nbsp;",,,,China and Guatemala,Retailer:,"The Black Sheep Fam, of Kewaskum, Wisconsin"
26-553,,11-Jun-26,,Arctic Zone Titan Pro Coolers Recalled Due to Risk of Serious Injury or Death from Choking Hazard; Imported by California Innovations and Sold at Costco,Arctic Zone Titan Pro Coolers,"This recall involves Arctic Zone Titan Pro 40 can-capacity, iceless coolers. The rectangular coolers were sold in black and brown and have a built‑in bottle opener. The zipperless coolers are collapsible and measure about 15 inches wide, 12 inches deep and 12 inches high when open. The coolers have a hard-top lid with a front latch, a front insulated compartment with a front zippered pocket, two mesh side pockets, a shoulder strap with pad and grab handles. “Titan Pro by Arctic Zone” is printed on the front of the coolers and style number 10006348 is on a sewn-in label inside the front zippered pocket.","The recalled coolers’ latch magnet can detach, posing risk of serious injury or death from a choking hazard.",,,Repair,"About 2,500",None reported,"Consumers should stop using the coolers immediately and contact California Innovations for a free replacement latch, including shipping. Consumers will also receive replacement instructions and a tool to remove the existing latch and replace it with the new latch.",Sold At,Costco stores nationwide in March 2026 for about $40.,"California Innovations Inc., of Canada",,,Vietnam,,
